StockCode,Year,ROE,Leverage,Growth,ROA
000062,2019,0.127726,0.326864,-0.067985,0.063863
000062,2020,0.116551,0.371949,0.003465,0.0582755
000062,2021,0.151046,0.360639,0.448712,0.075523
000062,2022,0.144446,0.439209,0.035506,0.072223
000062,2023,0.06583,0.393695,-0.487498,0.032915
000063,2015,0.117637,0.414338,0.371202,0.0588185
000063,2016,-0.084102,0.352599,-1.376408,-0.042051
000063,2017,0.157393,0.38139,4.825883,0.0786965
000063,2018,-0.256072,0.288292,-2.290178,-0.128036
000063,2019,0.19905,0.385656,1.831254,0.099525
000063,2020,0.118124,0.479331,-0.182627,0.059062
000063,2021,0.143765,0.661801,0.49012,0.0718825
000063,2022,0.14675,0.72504,0.107409,0.073375
000063,2023,0.147269,0.947803,0.186,0.0736345
000065,2015,0.150725,0.751922,0.027313,0.0753625
000065,2016,0.17965,0.450995,0.487623,0.089825
000065,2017,0.14597,0.76981,0.028106,0.072985
000065,2018,0.150503,0.754718,0.137407,0.0752515
000065,2019,0.15398,0.396604,0.197088,0.07699
000065,2020,0.141518,0.678125,0.060274,0.070759
000065,2021,0.105394,0.516583,-0.136569,0.052697
000065,2022,0.091071,0.584413,0.18654,0.0455355
000065,2023,0.1132,0.430697,0.186921,0.0566
000066,2015,-0.013878,0.138756,0.426691,-0.006939
000066,2016,0.012367,0.013203,2.101756,0.0061835
000066,2017,0.12304,0.55926,0.239674,0.06152
000066,2018,0.152863,0.470858,0.517582,0.0764315
000066,2019,0.153409,0.413996,-0.032411,0.0767045
000066,2020,0.107545,0.401568,-0.164066,0.0537725
000066,2021,0.064028,0.340179,-0.299714,0.032014
000066,2022,0.010292,0.499944,-0.668455,0.005146
000066,2023,-0.074178,0.567734,-4.811774,-0.037089
000068,2015,0.019967,2.283171,1.07718,0.0099835
000068,2016,0.016109,1.065913,0.072476,0.0080545
000068,2017,0.0509,0.397414,2.742177,0.02545
000068,2018,-0.225292,0.321735,-5.279137,-0.112646
000068,2019,0.011408,0.391495,1.051609,0.005704
000068,2020,-0.372657,0.588048,-25.839507,-0.1863285
000068,2021,-0.312366,0.193171,0.339354,-0.156183
000068,2022,-1.409903,0.090718,-0.981053,-0.7049515
000068,2023,1.755407,0.283514,3.715262,0.8777035
000069,2015,0.140192,0.347613,-0.062157,0.070096
000069,2016,0.168415,0.217152,0.394332,0.0842075
000069,2017,0.180508,0.283637,0.274592,0.090254
000069,2018,0.190496,0.187783,0.21214,0.095248
000069,2019,0.193176,0.186994,0.272921,0.096588
000069,2020,0.17255,0.262872,0.096258,0.086275
000069,2021,0.047608,0.27895,-0.54516,0.023804
000069,2022,-0.145344,0.229725,-2.78516,-0.072672
000069,2023,-0.099262,0.233559,0.339281,-0.049631
000070,2015,0.070137,0.247484,0.604552,0.0350685
000070,2016,0.118925,0.215725,1.01608,0.0594625
000070,2017,0.142768,0.241295,0.299024,0.071384
000070,2018,0.128256,0.224974,0.05249,0.064128
000070,2019,0.123569,0.213788,0.105552,0.0617845
000070,2020,0.003891,0.505301,-0.83159,0.0019455
000070,2021,-0.250063,0.545277,-11.327275,-0.1250315
000070,2022,0.007035,0.199953,1.089513,0.0035175
000070,2023,-0.147171,0.199447,-5.163272,-0.0735855
000078,2015,0.292834,0.29479,5.199942,0.146417
000078,2016,0.1167,0.289348,-0.037884,0.05835
000078,2017,0.116976,0.141769,0.645458,0.058488
000078,2018,0.072366,0.13369,-0.155308,0.036183
000078,2019,0.039498,0.191595,-0.202647,0.019749
000078,2020,-0.047554,0.168413,-1.080186,-0.023777
000078,2021,0.015947,0.139852,7.245588,0.0079735
000078,2022,-0.195447,0.111759,-4.847445,-0.0977235
000078,2023,-0.439296,0.132529,-0.733858,-0.219648
000089,2015,0.057566,1.057608,0.929545,0.028783
000089,2016,0.053809,1.480818,0.078846,0.0269045
000089,2017,0.060538,1.388446,0.174042,0.030269
000089,2018,0.058579,1.38675,0.010049,0.0292895
000089,2019,0.050102,1.381205,-0.111777,0.025051
000089,2020,0.002341,0.461864,-0.936472,0.0011705
000089,2021,-0.002892,0.843945,-1.522212,-0.001446
000089,2022,-0.101245,0.43942,-55.15843,-0.0506225
000089,2023,0.036396,0.62602,1.360007,0.018198
000090,2015,0.079759,0.482512,-0.069085,0.0398795
000090,2016,0.071723,0.392371,0.137001,0.0358615
000090,2017,0.093779,0.194279,0.340897,0.0468895
000090,2018,0.102591,0.274798,0.296129,0.0512955
000090,2019,0.135199,0.216155,0.591013,0.0675995
000090,2020,0.14466,0.298735,0.206826,0.07233
000090,2021,0.163417,0.227012,0.310897,0.0817085
000090,2022,0.147605,0.214676,0.009743,0.0738025
000090,2023,0.107246,0.235733,-0.236882,0.053623
000096,2015,0.076137,6.812186,2.425442,0.0380685
000096,2016,0.136838,11.790357,0.987314,0.068419
000096,2017,0.064445,10.247807,-0.47788,0.0322225
000096,2018,0.044372,11.766361,-0.279203,0.022186
000096,2019,0.048119,9.801675,0.15464,0.0240595
000096,2020,0.046856,11.038122,0.031595,0.023428
000096,2021,0.023633,15.442834,-0.470235,0.0118165
000096,2022,0.020167,15.460202,-0.167256,0.0100835
000096,2023,0.033337,10.378507,0.554602,0.0166685
000099,2015,0.061879,0.499398,-0.156852,0.0309395
000099,2016,0.030574,0.391147,-0.482926,0.015287
000099,2017,0.031449,0.62766,0.065562,0.0157245
000099,2018,0.049946,0.482998,0.665158,0.024973
000099,2019,0.066625,0.411398,0.326575,0.0333125
000099,2020,0.06472,0.944987,0.01153,0.03236
000099,2021,0.060068,2.690658,0.164816,0.030034
000099,2022,0.040261,2.175278,-0.316726,0.0201305
000099,2023,0.047722,2.14182,0.397905,0.023861
000100,2015,0.121072,0.284225,-0.236896,0.060536
000100,2016,0.068212,0.392238,-0.338225,0.034106
000100,2017,0.101478,0.380073,0.658309,0.050739
000100,2018,0.115144,0.354396,0.146838,0.057572
000100,2019,0.086386,0.433097,-0.100232,0.043193
000100,2020,0.136661,0.305688,0.384793,0.0683305
000100,2021,0.260751,0.482737,1.95328,0.1303755
000100,2022,0.005577,0.549253,-0.880601,0.0027885
000100,2023,0.042759,0.454606,1.673728,0.0213795
000151,2015,0.134291,1.239987,0.191899,0.0671455
000151,2016,0.100875,1.207382,-0.248915,0.0504375
000151,2017,0.088159,1.054124,-0.123402,0.0440795
000151,2018,0.083804,0.663419,-0.056705,0.041902
000151,2019,0.008983,0.437937,-0.895096,0.0044915
000151,2020,-0.366674,0.419984,-34.218978,-0.183337
000151,2021,0.010403,0.518681,1.293555,0.0052015
000151,2022,-0.518982,0.347495,-8.230155,-0.259491
000151,2023,-0.362764,0.599074,-0.058457,-0.181382
000153,2015,0.028624,0.168614,-0.234671,0.014312
000153,2016,0.039798,0.125086,0.334327,0.019899
000153,2017,0.055071,0.176153,0.429586,0.0275355
000153,2018,0.048564,0.189872,-0.071015,0.024282
000153,2019,0.061937,0.172372,0.327833,0.0309685
000153,2020,0.075769,0.133323,0.266561,0.0378845
000153,2021,0.077914,0.13086,0.072212,0.038957
000153,2022,0.089,0.150615,0.280728,0.0445
000153,2023,0.088054,0.158869,0.042109,0.044027
000155,2016,1.214152,25.2966,2.217834,0.607076
000155,2017,0.110667,0.739039,-0.588331,0.0553335
000155,2018,0.095881,0.957507,0.077014,0.0479405
000155,2019,0.063361,1.096837,-0.198313,0.0316805
000155,2020,0.042536,0.694761,-0.108578,0.021268
000155,2021,0.080029,0.864449,0.25865,0.0400145
000155,2022,0.139476,0.862178,0.871733,0.069738
000155,2023,0.125061,0.935902,0.005572,0.0625305
000156,2015,0.093224,3.13089,0.38739,0.046612
000156,2016,0.062223,2.949342,0.127749,0.0311115
000156,2017,0.062614,1.432613,0.067569,0.031307
000156,2018,0.061192,1.545246,0.00467,0.030596
000156,2019,0.05955,1.624642,0.002091,0.029775
000156,2020,0.068747,0.848831,0.011422,0.0343735
000156,2021,0.065547,0.906176,-0.026224,0.0327735
000156,2022,0.055281,0.612959,-0.128986,0.0276405
000156,2023,0.046918,0.614074,-0.128255,0.023459
000157,2015,0.002067,0.448448,-0.854816,0.0010335
000157,2016,-0.024331,0.304607,-10.925779,-0.0121655
000157,2017,0.035808,0.337388,2.379278,0.017904
000157,2018,0.053309,0.601973,0.567835,0.0266545
